resolvedPhylumName;bucketName;traitNameVerbatim;numberOfRecords
Echinodermata;;675;684
Mollusca;;6858;6944
"";;97573;887696
Chordata;;306343;746038
Arthropoda;;16126;44955
Annelida;;367;389
Gastrotricha;;19;19
Rotifera;;43;43
Ctenophora;;155;155
Platyhelminthes;;40;40
Nematoda;;27;36
Bryozoa;;77;85
Cnidaria;;200;281
Chaetognatha;;25;25
Tardigrada;;60;60
Nemertea;;21;21
Brachiopoda;;21;21
Phoronida;;42;42
Xenacoelomorpha;;21;21
Basidiomycota;;2;2
Ascomycota;;27;51
Chlorophyta;;1;2
Rhodophyta;;1;1
Tracheophyta;;279589;24883911
Bryophyta;;16045;16240
Marchantiophyta;;4063;4064
Anthocerotophyta;;32;32
Ciliophora;;3;3
Artverviricota;;1;2
Porifera;;2;10
Spirochaetae;;1;9
